molecule,ae_term,model,df_spline,k,beta,pval,p_adj_bh_global,p_adj_bh_by_mol,sig_p05,sig_fdr_global05,sig_fdr_mol05
MDMA,restlessness,linear,NA,9,0.016071109846702916,0.2986857097366299,0.7627531800519607,0.5606746413023888,FALSE,FALSE,FALSE
LSD,thinking abnormal,linear,NA,5,0.006312615698297322,0.2992025238649093,0.7627531800519607,0.7480063096622733,FALSE,FALSE,FALSE
PSILOCYBIN,palpitations,linear,NA,4,0.04007897305028693,0.31968503049326125,0.7627531800519607,0.8786952817490256,FALSE,FALSE,FALSE
PSILOCYBIN,abdominal pain,linear,NA,6,0.0469164890615471,0.33330964393286844,0.7627531800519607,0.8786952817490256,FALSE,FALSE,FALSE
LSD,impaired gait,linear,NA,3,15.912101622855703,0.33556931465344836,0.7627531800519607,0.7557508019073158,FALSE,FALSE,FALSE
LSD,attention disturbance,linear,NA,5,-0.009714382202267632,0.36276038491551155,0.7627531800519607,0.7557508019073158,FALSE,FALSE,FALSE
MDMA,decreased concentration,linear,NA,4,-0.04529940736854604,0.3753469930102338,0.7627531800519607,0.5606746413023888,FALSE,FALSE,FALSE
PSILOCYBIN,myalgia,linear,NA,3,-0.061626386278590774,0.3812986354353962,0.7627531800519607,0.8786952817490256,FALSE,FALSE,FALSE
MDMA,anxiety,linear,NA,14,0.01188208903137353,0.38278642433678006,0.7627531800519607,0.5606746413023888,FALSE,FALSE,FALSE
MDMA,depression,linear,NA,7,-0.05293147763924324,0.3892113521454673,0.7627531800519607,0.5606746413023888,FALSE,FALSE,FALSE
MDMA,rumination,linear,NA,6,-0.043382254557323724,0.4040268968880554,0.7627531800519607,0.5606746413023888,FALSE,FALSE,FALSE
PSILOCYBIN,anxiety,linear,NA,9,0.05492884753717596,0.41372361980138705,0.7627531800519607,0.8786952817490256,FALSE,FALSE,FALSE
LSD,pseudohallucination,linear,NA,4,0.005629080131223173,0.41593948308854983,0.7627531800519607,0.776144977941037,FALSE,FALSE,FALSE
MDMA,autonomic,linear,NA,5,0.03063016900758162,0.43602028782276925,0.7627531800519607,0.5606746413023888,FALSE,FALSE,FALSE
PSILOCYBIN,migraine,linear,NA,3,-0.09397056994905177,0.4374613826768598,0.7627531800519607,0.8786952817490256,FALSE,FALSE,FALSE
MDMA,pain,linear,NA,7,0.01263569505074081,0.4577028826705383,0.7780790940522946,0.5606746413023888,FALSE,FALSE,FALSE
PSILOCYBIN,illusion,linear,NA,4,0.025051360101906592,0.47797309444620095,0.7780790940522946,0.8786952817490256,FALSE,FALSE,FALSE
MDMA,weakness,linear,NA,3,0.049284968608043156,0.4805782639734761,0.7780790940522946,0.5606746413023888,FALSE,FALSE,FALSE
LSD,euphoric mood,linear,NA,4,0.004319421403153754,0.5053380243868221,0.7902276115958247,0.776144977941037,FALSE,FALSE,FALSE
PSILOCYBIN,sleep disorder,linear,NA,4,-0.0723475716441924,0.5148713208020996,0.7902276115958247,0.8786952817490256,FALSE,FALSE,FALSE
LSD,dizziness,linear,NA,6,0.0026126268181090014,0.5288051107353702,0.7902276115958247,0.776144977941037,FALSE,FALSE,FALSE
LSD,anxiety,linear,NA,5,0.0036944182793983574,0.5345657372559991,0.7902276115958247,0.776144977941037,FALSE,FALSE,FALSE
LSD,lack of appetite,linear,NA,4,0.0044936582314456935,0.5584572803462373,0.7916678774998578,0.776144977941037,FALSE,FALSE,FALSE
LSD,perspiration,linear,NA,5,0.0035004795180443816,0.5588243841175466,0.7916678774998578,0.776144977941037,FALSE,FALSE,FALSE
PSILOCYBIN,restlessness,linear,NA,4,0.018092034135381,0.6089089006642616,0.8450164335748936,0.8786952817490256,FALSE,FALSE,FALSE
PSILOCYBIN,panic reaction,linear,NA,4,0.08305101487069343,0.6265424848075393,0.8474451102405883,0.8786952817490256,FALSE,FALSE,FALSE
MDMA,xerostomia,linear,NA,4,0.02724917157598632,0.6355838326804413,0.8474451102405883,0.7024873940152246,FALSE,FALSE,FALSE
PSILOCYBIN,diarrhea,linear,NA,3,-0.05761065268771913,0.6894731984580431,0.9016187979835949,0.8786952817490256,FALSE,FALSE,FALSE
PSILOCYBIN,hypertension,linear,NA,6,-0.023769838409469692,0.715504233849266,0.9180054321084922,0.8786952817490256,FALSE,FALSE,FALSE
PSILOCYBIN,fatigue,linear,NA,7,0.016974484927216704,0.7603266377267472,0.9336137368583397,0.8786952817490256,FALSE,FALSE,FALSE
PSILOCYBIN,temperature perception disturbances,linear,NA,3,-0.0084661693767285,0.8098488899916578,0.9336137368583397,0.8786952817490256,FALSE,FALSE,FALSE
PSILOCYBIN,physical pain,linear,NA,5,0.007561559410889282,0.8250479269098568,0.9336137368583397,0.8786952817490256,FALSE,FALSE,FALSE
LSD,hallucination visual,linear,NA,4,-0.0011918546802502888,0.8296271278277486,0.9336137368583397,0.9581252720168464,FALSE,FALSE,FALSE
LSD,Fatigue,linear,NA,4,-0.0012134204108148327,0.8494898149390382,0.9336137368583397,0.9581252720168464,FALSE,FALSE,FALSE
PSILOCYBIN,suicidal ideation,linear,NA,8,0.013477137570113751,0.8530783915168653,0.9336137368583397,0.8786952817490256,FALSE,FALSE,FALSE
MDMA,irritability,linear,NA,5,-0.012159965853064645,0.8566467615503793,0.9336137368583397,0.8994790996278983,FALSE,FALSE,FALSE
PSILOCYBIN,paresthesia,linear,NA,4,0.014151455404114194,0.8588981630999752,0.9336137368583397,0.8786952817490256,FALSE,FALSE,FALSE
LSD,altered state of consciousness,linear,NA,4,0.0019516376690798935,0.8656190699691487,0.9336137368583397,0.9581252720168464,FALSE,FALSE,FALSE
LSD,Mydriasis,linear,NA,4,0.0012091567632698658,0.867676276532408,0.9336137368583397,0.9581252720168464,FALSE,FALSE,FALSE
PSILOCYBIN,back pain,linear,NA,3,-0.01638092247624197,0.8786952817490256,0.9336137368583397,0.8786952817490256,FALSE,FALSE,FALSE
MDMA,ophthalmological,linear,NA,4,-0.00925324624913205,0.9169111394020392,0.9581252720168464,0.9169111394020392,FALSE,FALSE,FALSE
LSD,Balance_disorder,linear,NA,4,-5.029716751488908e-4,0.9468208753181986,0.9581252720168464,0.9581252720168464,FALSE,FALSE,FALSE
LSD,emotional distress,linear,NA,5,-4.0512218844039843e-4,0.9514610753856725,0.9581252720168464,0.9581252720168464,FALSE,FALSE,FALSE
LSD,hypertension,linear,NA,4,3.165435747054473e-4,0.9581252720168464,0.9581252720168464,0.9581252720168464,FALSE,FALSE,FALSE
