time_window,molecule,ae_term,n_studies,events_total,n_total,rate,rate_pct,events_source
follow_up,PSILOCYBIN,abdominal pain,1,7,160,0.04375,4.375,row-wise preference: absolute_events else events
follow_up,PSILOCYBIN,nasopharyngitis,1,7,160,0.04375,4.375,row-wise preference: absolute_events else events
follow_up,PSILOCYBIN,physical pain,1,7,160,0.04375,4.375,row-wise preference: absolute_events else events
follow_up,PSILOCYBIN,nausea,1,6,160,0.0375,3.75,row-wise preference: absolute_events else events
follow_up,PSILOCYBIN,diarrhea,1,5,160,0.03125,3.125,row-wise preference: absolute_events else events
follow_up,PSILOCYBIN,insomnia,1,4,160,0.025,2.5,row-wise preference: absolute_events else events
follow_up,PSILOCYBIN,dyspepsia,1,2,160,0.0125,1.25,row-wise preference: absolute_events else events
follow_up,PSILOCYBIN,hallucinogen persisting perception disorder,1,1.6,160,0.01,1,row-wise preference: absolute_events else events
follow_up,PSILOCYBIN,suicidal ideation,1,1.6,160,0.01,1,row-wise preference: absolute_events else events
overall,LSD,adhd_exacerbation,1,1,40,0.025,2.5,row-wise preference: absolute_events else events
overall,LSD,anxiety_worsening,1,0.975,39,0.024999999999999998,2.5,row-wise preference: absolute_events else events
overall,LSD,depression,1,0.975,39,0.024999999999999998,2.5,row-wise preference: absolute_events else events
overall,LSD,depression_worsening,1,0.975,39,0.024999999999999998,2.5,row-wise preference: absolute_events else events
overall,LSD,feeling_intoxicated,1,1.975,79,0.025,2.5,row-wise preference: absolute_events else events
session,AYAHUASCA,nausea,2,14,23,0.6086956521739131,60.86956521739131,row-wise preference: absolute_events else events
session,AYAHUASCA,restlessness,1,7,14,0.5,50,row-wise preference: absolute_events else events
session,AYAHUASCA,vomiting,2,11,23,0.4782608695652174,47.82608695652174,row-wise preference: absolute_events else events
session,AYAHUASCA,hypertension,1,4,9,0.4444444444444444,44.44444444444444,row-wise preference: absolute_events else events
session,AYAHUASCA,anxiety,2,8,23,0.34782608695652173,34.78260869565217,row-wise preference: absolute_events else events
session,AYAHUASCA,headache,2,8,23,0.34782608695652173,34.78260869565217,row-wise preference: absolute_events else events
session,AYAHUASCA,confusion,1,2,9,0.2222222222222222,22.22222222222222,row-wise preference: absolute_events else events
session,AYAHUASCA,drowsiness,1,2,9,0.2222222222222222,22.22222222222222,row-wise preference: absolute_events else events
session,AYAHUASCA,tachycardia,1,2,9,0.2222222222222222,22.22222222222222,row-wise preference: absolute_events else events
session,AYAHUASCA,diarrhea,1,1,9,0.1111111111111111,11.11111111111111,row-wise preference: absolute_events else events
session,AYAHUASCA,dissociation,1,1,9,0.1111111111111111,11.11111111111111,row-wise preference: absolute_events else events
session,AYAHUASCA,distress,1,1,9,0.1111111111111111,11.11111111111111,row-wise preference: absolute_events else events
session,LSD,illusions,1,8,11,0.7272727272727273,72.72727272727273,row-wise preference: absolute_events else events
session,LSD,time perception altered,1,6,11,0.5454545454545454,54.54545454545454,row-wise preference: absolute_events else events
session,LSD,illusion,1,84.012,159,0.528377358490566,52.8377358490566,row-wise preference: absolute_events else events
session,LSD,impaired gait,3,28,77,0.36363636363636365,36.36363636363637,row-wise preference: absolute_events else events
