time_window,molecule,ae_term,n_studies,events_total,n_total,rate,rate_pct,events_source
session,PSILOCYBIN,hypertension,4,1.9127873563218385,252,0.007590426017150153,0.7590426017150153,row-wise preference: absolute_events else events
session,PSILOCYBIN,headache,9,4.015365747424892,530,0.007576161787594135,0.7576161787594136,row-wise preference: absolute_events else events
session,PSILOCYBIN,nausea,8,2.1116318080411274,504,0.004189745650875253,0.4189745650875253,row-wise preference: absolute_events else events
session,PSILOCYBIN,mood altered/lability,1,0.61875,160,0.0038671875,0.38671875,row-wise preference: absolute_events else events
session,PSILOCYBIN,illusion,3,0.9483333333333333,258,0.003675710594315245,0.3675710594315245,row-wise preference: absolute_events else events
session,PSILOCYBIN,vivid imagination,1,0.55625,160,0.0034765625,0.34765625,row-wise preference: absolute_events else events
session,PSILOCYBIN,hyperglycemia,1,0.0555555555555556,18,0.003086419753086422,0.30864197530864224,row-wise preference: absolute_events else events
session,PSILOCYBIN,memory impairment,1,0.0555555555555556,18,0.003086419753086422,0.30864197530864224,row-wise preference: absolute_events else events
session,PSILOCYBIN,anxiety,5,0.8267545104030256,421,0.0019637874356366403,0.19637874356366403,row-wise preference: absolute_events else events
session,PSILOCYBIN,migraine,3,0.1555555555555556,96,0.001620370370370371,0.1620370370370371,row-wise preference: absolute_events else events
