time_window,molecule,n_studies_molecule,n_total_molecule,ae_term,n_studies_ae,n_total_ae,events_total,event_pct,events_per_1000,display
session,PSILOCYBIN,10,550,dysphoria,1,48,1,2.083333333333333,20.833333333333332,1.0/48 (2.1%)
session,PSILOCYBIN,10,550,dyspnea,1,48,1,2.083333333333333,20.833333333333332,1.0/48 (2.1%)
session,PSILOCYBIN,10,550,food allergy,1,48,1,2.083333333333333,20.833333333333332,1.0/48 (2.1%)
session,PSILOCYBIN,10,550,food poisoning,1,48,1,2.083333333333333,20.833333333333332,1.0/48 (2.1%)
session,PSILOCYBIN,10,550,gingivitis,1,48,1,2.083333333333333,20.833333333333332,1.0/48 (2.1%)
session,PSILOCYBIN,10,550,hyperventilation,1,48,1,2.083333333333333,20.833333333333332,1.0/48 (2.1%)
session,PSILOCYBIN,10,550,limb injury,1,48,1,2.083333333333333,20.833333333333332,1.0/48 (2.1%)
session,PSILOCYBIN,10,550,muscle strain,1,48,1,2.083333333333333,20.833333333333332,1.0/48 (2.1%)
session,PSILOCYBIN,10,550,musculoskeletal pain,1,48,1,2.083333333333333,20.833333333333332,1.0/48 (2.1%)
session,PSILOCYBIN,10,550,nasal congestion,1,48,1,2.083333333333333,20.833333333333332,1.0/48 (2.1%)
session,PSILOCYBIN,10,550,oropharyngeal pain,1,48,1,2.083333333333333,20.833333333333332,1.0/48 (2.1%)
session,PSILOCYBIN,10,550,pain,1,48,1,2.083333333333333,20.833333333333332,1.0/48 (2.1%)
session,PSILOCYBIN,10,550,photopsia,1,48,1,2.083333333333333,20.833333333333332,1.0/48 (2.1%)
session,PSILOCYBIN,10,550,psychomotor hyperactivity,1,48,1,2.083333333333333,20.833333333333332,1.0/48 (2.1%)
session,PSILOCYBIN,10,550,testicular pain,1,48,1,2.083333333333333,20.833333333333332,1.0/48 (2.1%)
session,PSILOCYBIN,10,550,toothache,1,48,1,2.083333333333333,20.833333333333332,1.0/48 (2.1%)
session,PSILOCYBIN,10,550,urinary incontinence,1,48,1,2.083333333333333,20.833333333333332,1.0/48 (2.1%)
session,PSILOCYBIN,10,550,suicidal behavior,1,154,3,1.948051948051948,19.48051948051948,3.0/154 (1.9%)
session,PSILOCYBIN,10,550,diarrhea,3,104,2,1.9230769230769231,19.230769230769234,2.0/104 (1.9%)
session,PSILOCYBIN,10,550,withdrawal syndrome,2,127,2,1.574803149606299,15.748031496062993,2.0/127 (1.6%)
session,PSILOCYBIN,10,550,hypertensive crisis,1,160,1.6,1,10,1.6/160 (1.0%)
session,PSILOCYBIN,10,550,syncope,1,160,1.6,1,10,1.6/160 (1.0%)
session,PSILOCYBIN,10,550,hospitalisation,1,154,1,0.6493506493506493,6.493506493506494,1.0/154 (0.6%)
session,PSILOCYBIN,10,550,anemia,1,48,0,0,0,0.0/48 (0.0%)
session,PSILOCYBIN,10,550,anger,1,48,0,0,0,0.0/48 (0.0%)
session,PSILOCYBIN,10,550,arthralgia,1,48,0,0,0,0.0/48 (0.0%)
session,PSILOCYBIN,10,550,bronchitis,1,48,0,0,0,0.0/48 (0.0%)
session,PSILOCYBIN,10,550,bronchitis bacterial,1,48,0,0,0,0.0/48 (0.0%)
session,PSILOCYBIN,10,550,constipation,1,48,0,0,0,0.0/48 (0.0%)
session,PSILOCYBIN,10,550,contact dermatitis,1,48,0,0,0,0.0/48 (0.0%)
session,PSILOCYBIN,10,550,cough,1,48,0,0,0,0.0/48 (0.0%)
session,PSILOCYBIN,10,550,edema,1,48,0,0,0,0.0/48 (0.0%)
session,PSILOCYBIN,10,550,eye infection,1,48,0,0,0,0.0/48 (0.0%)
session,PSILOCYBIN,10,550,fungal infection,1,48,0,0,0,0.0/48 (0.0%)
session,PSILOCYBIN,10,550,hypoesthesia,1,48,0,0,0,0.0/48 (0.0%)
session,PSILOCYBIN,10,550,hyponatremia,1,48,0,0,0,0.0/48 (0.0%)
session,PSILOCYBIN,10,550,influenza like illness,1,48,0,0,0,0.0/48 (0.0%)
session,PSILOCYBIN,10,550,lower resp. tract congestion,1,48,0,0,0,0.0/48 (0.0%)
session,PSILOCYBIN,10,550,malignant melanoma,1,48,0,0,0,0.0/48 (0.0%)
session,PSILOCYBIN,10,550,mallory-weiss syndrom,1,48,0,0,0,0.0/48 (0.0%)
session,PSILOCYBIN,10,550,pain in extremity,1,48,0,0,0,0.0/48 (0.0%)
session,PSILOCYBIN,10,550,peripheral swelling,1,48,0,0,0,0.0/48 (0.0%)
session,PSILOCYBIN,10,550,pyrexia,1,48,0,0,0,0.0/48 (0.0%)
session,PSILOCYBIN,10,550,rhinorrhea,1,48,0,0,0,0.0/48 (0.0%)
session,PSILOCYBIN,10,550,sedation,1,48,0,0,0,0.0/48 (0.0%)
session,PSILOCYBIN,10,550,sinus congestion,1,48,0,0,0,0.0/48 (0.0%)
session,PSILOCYBIN,10,550,sinus headache,1,48,0,0,0,0.0/48 (0.0%)
session,PSILOCYBIN,10,550,stress,1,18,0,0,0,0.0/18 (0.0%)
session,PSILOCYBIN,10,550,thrombocytosis,1,48,0,0,0,0.0/48 (0.0%)
session,PSILOCYBIN,10,550,traumatic lung injury,1,48,0,0,0,0.0/48 (0.0%)
session,PSILOCYBIN,10,550,xerostomia,1,30,0,0,0,0.0/30 (0.0%)
