time_window,molecule,study_id,arm_id,group,arm_type,dose_mg,ae_term,events_total,n_total,rate,rate_pct
follow_up,MDMA,Mithoefer2018,mild_dose,mild_dose,active,75,sleep disorder,1.29,7,0.1842857142857143,18.42857142857143
follow_up,MDMA,Oehen2013,high_dose,high_dose,active,125,anxiety,0.26,43,0.006046511627906977,0.6046511627906977
follow_up,MDMA,Oehen2013,high_dose,high_dose,active,125,autonomic,0.16,43,0.0037209302325581397,0.37209302325581395
follow_up,MDMA,Oehen2013,high_dose,high_dose,active,125,decreased concentration,0.23,43,0.005348837209302326,0.5348837209302326
follow_up,MDMA,Oehen2013,high_dose,high_dose,active,125,depression,0.47,43,0.010930232558139534,1.0930232558139534
follow_up,MDMA,Oehen2013,high_dose,high_dose,active,125,dizziness,0.25,43,0.005813953488372093,0.5813953488372093
follow_up,MDMA,Oehen2013,high_dose,high_dose,active,125,fatigue,0.56,43,0.013023255813953489,1.302325581395349
follow_up,MDMA,Oehen2013,high_dose,high_dose,active,125,headache,0.23,43,0.005348837209302326,0.5348837209302326
follow_up,MDMA,Oehen2013,high_dose,high_dose,active,125,jaw tension,0.16,43,0.0037209302325581397,0.37209302325581395
follow_up,MDMA,Oehen2013,high_dose,high_dose,active,125,lack of appetite,0.16,43,0.0037209302325581397,0.37209302325581395
follow_up,MDMA,Oehen2013,high_dose,high_dose,active,125,nausea,0.12,43,0.0027906976744186047,0.27906976744186046
follow_up,MDMA,Oehen2013,high_dose,high_dose,active,125,ophthalmological,0.02,43,4.6511627906976747e-4,0.046511627906976744
follow_up,MDMA,Oehen2013,high_dose,high_dose,active,125,perspiration,0.02,43,4.6511627906976747e-4,0.046511627906976744
follow_up,MDMA,Oehen2013,high_dose,high_dose,active,125,restlessness,0.14,43,0.0032558139534883722,0.32558139534883723
follow_up,MDMA,Oehen2013,high_dose,high_dose,active,125,rumination,0.21,43,0.004883720930232558,0.4883720930232558
follow_up,MDMA,Oehen2013,high_dose,high_dose,active,125,sleep disorder,0.61,43,0.014186046511627907,1.4186046511627908
follow_up,MDMA,Oehen2013,high_dose,high_dose,active,125,weakness,0.12,43,0.0027906976744186047,0.27906976744186046
follow_up,MDMA,Oehen2013,high_dose,high_dose,active,125,xerostomia,0.12,43,0.0027906976744186047,0.27906976744186046
follow_up,PSILOCYBIN,Mertens2026,high_dose,high_dose,active,25,abdominal pain,0.04375,160,2.7343749999999997e-4,0.027343749999999997
follow_up,PSILOCYBIN,Mertens2026,high_dose,high_dose,active,25,abnormal dreams,0.0625,160,3.90625e-4,0.0390625
follow_up,PSILOCYBIN,Mertens2026,high_dose,high_dose,active,25,anxiety,0.06875,160,4.2968750000000006e-4,0.04296875000000001
follow_up,PSILOCYBIN,Mertens2026,high_dose,high_dose,active,25,depression,0.05,160,3.125e-4,0.03125
follow_up,PSILOCYBIN,Mertens2026,high_dose,high_dose,active,25,diarrhea,0.03125,160,1.953125e-4,0.01953125
follow_up,PSILOCYBIN,Mertens2026,high_dose,high_dose,active,25,dyspepsia,0.0125,160,7.8125e-5,0.0078125
follow_up,PSILOCYBIN,Mertens2026,high_dose,high_dose,active,25,fatigue,0.08125,160,5.078125e-4,0.05078125
follow_up,PSILOCYBIN,Mertens2026,high_dose,high_dose,active,25,hallucinogen persisting perception disorder,0.01,160,6.25e-5,0.00625
follow_up,PSILOCYBIN,Mertens2026,high_dose,high_dose,active,25,headache,0.375,160,0.00234375,0.234375
follow_up,PSILOCYBIN,Mertens2026,high_dose,high_dose,active,25,insomnia,0.025,160,1.5625e-4,0.015625
follow_up,PSILOCYBIN,Mertens2026,high_dose,high_dose,active,25,nasopharyngitis,0.04375,160,2.7343749999999997e-4,0.027343749999999997
follow_up,PSILOCYBIN,Mertens2026,high_dose,high_dose,active,25,nausea,0.0375,160,2.34375e-4,0.0234375
follow_up,PSILOCYBIN,Mertens2026,high_dose,high_dose,active,25,panic reaction,0.05625,160,3.515625e-4,0.03515625
follow_up,PSILOCYBIN,Mertens2026,high_dose,high_dose,active,25,physical pain,0.04375,160,2.7343749999999997e-4,0.027343749999999997
follow_up,PSILOCYBIN,Mertens2026,high_dose,high_dose,active,25,suicidal ideation,0.01,160,6.25e-5,0.00625
overall,LSD,Robison2025,50ug,50ug,active,50,ADHD_exacerbation,0.025,40,6.25e-4,0.0625
overall,LSD,Robison2025,50ug,50ug,active,50,feeling_intoxicated,0.025,40,6.25e-4,0.0625
overall,LSD,Robison2025,low_dose,low_dose,active,25,anxiety_worsening,0.025,39,6.41025641025641e-4,0.0641025641025641
overall,LSD,Robison2025,low_dose,low_dose,active,25,depression,0.025,39,6.41025641025641e-4,0.0641025641025641
overall,LSD,Robison2025,low_dose,low_dose,active,25,depression_worsening,0.025,39,6.41025641025641e-4,0.0641025641025641
overall,LSD,Robison2025,low_dose,low_dose,active,25,feeling_intoxicated,0.025,39,6.41025641025641e-4,0.0641025641025641
session,AYAHUASCA,Palhano-Fontes2019,mild_dose,mild_dose,active,0.36,anxiety,0.5,14,0.03571428571428571,3.571428571428571
session,AYAHUASCA,Palhano-Fontes2019,mild_dose,mild_dose,active,0.36,headache,0.428571428571428,14,0.03061224489795914,3.061224489795914
session,AYAHUASCA,Palhano-Fontes2019,mild_dose,mild_dose,active,0.36,nausea,0.714285714285714,14,0.051020408163265286,5.102040816326529
session,AYAHUASCA,Palhano-Fontes2019,mild_dose,mild_dose,active,0.36,restlessness,0.5,14,0.03571428571428571,3.571428571428571
session,AYAHUASCA,Palhano-Fontes2019,mild_dose,mild_dose,active,0.36,vomiting,0.571428571428571,14,0.040816326530612214,4.081632653061221
session,AYAHUASCA,dosSantos2021,mild_dose,mild_dose,active,0.36,anxiety,0.111111111111111,9,0.012345679012345666,1.2345679012345667
session,AYAHUASCA,dosSantos2021,mild_dose,mild_dose,active,0.36,confusion,0.222222222222222,9,0.024691358024691332,2.4691358024691334
session,AYAHUASCA,dosSantos2021,mild_dose,mild_dose,active,0.36,diarrhea,0.111111111111111,9,0.012345679012345666,1.2345679012345667
session,AYAHUASCA,dosSantos2021,mild_dose,mild_dose,active,0.36,dissociation,0.111111111111111,9,0.012345679012345666,1.2345679012345667
session,AYAHUASCA,dosSantos2021,mild_dose,mild_dose,active,0.36,distress,0.111111111111111,9,0.012345679012345666,1.2345679012345667
session,AYAHUASCA,dosSantos2021,mild_dose,mild_dose,active,0.36,drowsiness,0.222222222222222,9,0.024691358024691332,2.4691358024691334
session,AYAHUASCA,dosSantos2021,mild_dose,mild_dose,active,0.36,headache,0.222222222222222,9,0.024691358024691332,2.4691358024691334
session,AYAHUASCA,dosSantos2021,mild_dose,mild_dose,active,0.36,hypertension,0.444444444444444,9,0.049382716049382665,4.938271604938267
session,AYAHUASCA,dosSantos2021,mild_dose,mild_dose,active,0.36,nausea,0.444444444444444,9,0.049382716049382665,4.938271604938267
session,AYAHUASCA,dosSantos2021,mild_dose,mild_dose,active,0.36,tachycardia,0.222222222222222,9,0.024691358024691332,2.4691358024691334
session,AYAHUASCA,dosSantos2021,mild_dose,mild_dose,active,0.36,vomiting,0.333333333333333,9,0.037037037037037,3.7037037037037
session,LSD,Gasser2014,high_dose,high_dose,active,0.2,affect liability,0.181818181818182,11,0.016528925619834725,1.6528925619834725
session,LSD,Gasser2014,high_dose,high_dose,active,0.2,altered perception of music,0,11,0,0
session,LSD,Gasser2014,high_dose,high_dose,active,0.2,anemia,0.0909090909090909,11,0.008264462809917354,0.8264462809917353
session,LSD,Gasser2014,high_dose,high_dose,active,0.2,anger,0.0909090909090909,11,0.008264462809917354,0.8264462809917353
session,LSD,Gasser2014,high_dose,high_dose,active,0.2,anxiety,0.272727272727273,11,0.02479338842975209,2.479338842975209
session,LSD,Gasser2014,high_dose,high_dose,active,0.2,attention disturbance,0,11,0,0
session,LSD,Gasser2014,high_dose,high_dose,active,0.2,bradyphrenia,0.0909090909090909,11,0.008264462809917354,0.8264462809917353
session,LSD,Gasser2014,high_dose,high_dose,active,0.2,depersonalization,0.0909090909090909,11,0.008264462809917354,0.8264462809917353
session,LSD,Gasser2014,high_dose,high_dose,active,0.2,derealization,0.181818181818182,11,0.016528925619834725,1.6528925619834725
session,LSD,Gasser2014,high_dose,high_dose,active,0.2,emotional distress,0.454545454545454,11,0.04132231404958672,4.132231404958672
session,LSD,Gasser2014,high_dose,high_dose,active,0.2,fatigue,0,11,0,0
session,LSD,Gasser2014,high_dose,high_dose,active,0.2,feeling abnormal,0.545454545454545,11,0.049586776859504085,4.958677685950408
