molecule,ae_term,model,term,estimate,ci_low,ci_high,z,pval,I2,tau2,k,QE,QM,QMp,significance
MDMA,decreased concentration,spline_df3,dose_diff,NA,NA,NA,NA,0.39616866720342836,NA,NA,5,NA,NA,NA,
MDMA,depression,spline_df3,dose_diff,NA,NA,NA,NA,0.026696257437091857,NA,NA,7,NA,NA,NA,*
LSD,dizziness,spline_df3,dose_diff,NA,NA,NA,NA,0.8617675321184705,NA,NA,6,NA,NA,NA,
MDMA,dizziness,spline_df3,dose_diff,NA,NA,NA,NA,0.13766663560530837,NA,NA,7,NA,NA,NA,
PSILOCYBIN,dizziness,spline_df3,dose_diff,NA,NA,NA,NA,0.5660252494933579,NA,NA,7,NA,NA,NA,
LSD,emotional distress,spline_df3,dose_diff,NA,NA,NA,NA,0.5025704704024486,NA,NA,5,NA,NA,NA,
MDMA,fatigue,spline_df3,dose_diff,NA,NA,NA,NA,0.640713403491332,NA,NA,12,NA,NA,NA,
PSILOCYBIN,fatigue,spline_df3,dose_diff,NA,NA,NA,NA,0.040469990434346396,NA,NA,8,NA,NA,NA,*
LSD,feeling abnormal,spline_df3,dose_diff,NA,NA,NA,NA,0.9479874203012049,NA,NA,5,NA,NA,NA,
LSD,headache,spline_df3,dose_diff,NA,NA,NA,NA,0.548779952558176,NA,NA,8,NA,NA,NA,
MDMA,headache,spline_df3,dose_diff,NA,NA,NA,NA,0.6656910044652062,NA,NA,12,NA,NA,NA,
PSILOCYBIN,headache,spline_df3,dose_diff,NA,NA,NA,NA,0.016548563183546344,NA,NA,11,NA,NA,NA,*
PSILOCYBIN,hypertension,spline_df3,dose_diff,NA,NA,NA,NA,0.09992200623562258,NA,NA,6,NA,NA,NA,
PSILOCYBIN,illusion,spline_df3,dose_diff,NA,NA,NA,NA,0.3392565502354511,NA,NA,4,NA,NA,NA,
LSD,impaired gait,spline_df3,dose_diff,NA,NA,NA,NA,0.41268637924132867,NA,NA,4,NA,NA,NA,
MDMA,irritability,spline_df3,dose_diff,NA,NA,NA,NA,0.2783118220107107,NA,NA,6,NA,NA,NA,
MDMA,jaw tension,spline_df3,dose_diff,NA,NA,NA,NA,0.09030649321241681,NA,NA,13,NA,NA,NA,
LSD,lack of appetite,spline_df3,dose_diff,NA,NA,NA,NA,0.929116522927256,NA,NA,5,NA,NA,NA,
MDMA,lack of appetite,spline_df3,dose_diff,NA,NA,NA,NA,0.6454423649702218,NA,NA,9,NA,NA,NA,
MDMA,muscle tension,spline_df3,dose_diff,NA,NA,NA,NA,0.3628662425176835,NA,NA,9,NA,NA,NA,
MDMA,nausea,spline_df3,dose_diff,NA,NA,NA,NA,0.5936186251608392,NA,NA,9,NA,NA,NA,
PSILOCYBIN,nausea,spline_df3,dose_diff,NA,NA,NA,NA,0.11292100741952636,NA,NA,10,NA,NA,NA,
MDMA,ophthalmological,spline_df3,dose_diff,NA,NA,NA,NA,0.09292282379359772,NA,NA,4,NA,NA,NA,
MDMA,pain,spline_df3,dose_diff,NA,NA,NA,NA,0.07851358306772727,NA,NA,7,NA,NA,NA,
PSILOCYBIN,palpitations,spline_df3,dose_diff,NA,NA,NA,NA,0.5689232903310619,NA,NA,4,NA,NA,NA,
PSILOCYBIN,panic reaction,spline_df3,dose_diff,NA,NA,NA,NA,0.6112356095160365,NA,NA,4,NA,NA,NA,
PSILOCYBIN,paresthesia,spline_df3,dose_diff,NA,NA,NA,NA,0.46476653433406206,NA,NA,4,NA,NA,NA,
LSD,perspiration,spline_df3,dose_diff,NA,NA,NA,NA,0.3670354069150666,NA,NA,5,NA,NA,NA,
MDMA,perspiration,spline_df3,dose_diff,NA,NA,NA,NA,0.04287444289369839,NA,NA,7,NA,NA,NA,*
